"trip_id","origin_airport","destination","destination_airport","seats","return_flight_booked","departure_time","return_time","checked_bags","trip_airline","destination_airport_lat","destination_airport_lon","base_fare_usd"
"2899-9246ad1219884604b44a4531ed3cf157","PHX","indianapolis","IND","1","true","2022-11-18 07:00:00","2022-11-22 07:00:00","1","Delta Air Lines","39.717","-86.294","462.61"
"3560-d97231967ffc4748899f66f43447c725","JFK","columbus","CMH","1","true","2022-11-17 13:00:00","2022-11-23 13:00:00","1","AirTran Airways","39.998","-82.892","134.6"
"3633-8fd090f80d2a48e69e6ce5997a5c9115","PHL","austin","AUS","1","true","2022-11-21 07:00:00","2022-11-25 07:00:00","1","American Airlines","30.194","-97.67","444.14"
"3669-83512dd5cb12479baf688991053ab5d9","YEG","los angeles","LAX","1","true","2022-11-18 07:00:00","2022-11-21 07:00:00","0","Alaska Airlines","33.942","-118.408","373.25"
"3834-ce8c0dc60bf14477bae299282eee93d1","YOW","toronto","YTZ","1","true","2022-11-20 11:00:00","2022-11-21 11:00:00","1","Porter Airlines","43.862","-79.37","66.59"
"5489-68a2ad378aa34ea7be93011459afa797","PHX","los angeles","LSQ","1","true","2022-11-26 07:00:00","2022-11-28 07:00:00","1","American Airlines","33.942","-118.408","110.52"
"6707-02d847abea534317a68cea27ef405658","YOW","winnipeg","YAV","1","true","2022-11-19 07:00:00","2022-11-21 07:00:00","0","United Airlines","50.056","-97.032","290.12"
"7276-25bf119ba24a4611a9ae66ae6edc3be5","LNK","oklahoma city","TIK","1","true","2022-11-18 10:00:00","2022-11-23 10:00:00","1","Ryanair","35.393","-97.601","100.42"
"7292-4b76fa6ce51949ccb99c24998320cdd4","JFK","los angeles","LSQ","1","true","2022-11-23 08:00:00","2022-11-30 08:00:00","0","Ryanair","33.942","-118.408","671.39"
"7519-8b7d466d7649422e93425eb26a86c3dc","NBG","new york","LGA","1","true","2022-11-19 07:00:00","2022-11-21 07:00:00","0","Delta Air Lines","40.64","-73.779","325.91"
"7526-e877c48d68674d89b9479fa44f6731bf","SKF","houston","IAH","3","true","2022-11-21 07:00:00","2022-11-24 07:00:00","1","United Airlines","29.607","-95.159","189.33"
"7545-7b1266c12ce84c9c85604bf2847d2f1b","DCA","san jose","SJC","1","true","2022-11-17 07:00:00","2022-11-19 07:00:00","1","American Airlines","37.362","-121.929","666.79"
"8420-d3476cccd6f44fde9d14e8a4630db4ba","ELP","new york","LGA","1","true","2022-11-17 12:00:00","2022-11-21 12:00:00","1","Delta Air Lines","40.64","-73.779","557.68"
"8594-e25ca4c6d7cd4cfbbd74ffbe94bc1867","PNE","new york","JFK","2","true","2022-11-21 11:00:00","2022-11-24 11:00:00","1","JetBlue Airways","40.64","-73.779","43.06"
"10026-1ad2505d03a44f228aaa9d0e69d9d1b2","TCM","baltimore","BWI","2","true","2022-11-21 11:00:00","2022-11-24 11:00:00","0","Southwest Airlines","39.175","-76.668","1332.96"
"11224-d852b1ac2e5e4dcca7a36ca9d9a44659","YKZ","ottawa","YOW","1","true","2022-11-16 10:00:00","2022-11-18 10:00:00","1","Air Canada","45.323","-75.669","63.92"
"11422-79b7ba1ed00743a7ba46cd5182e0d45a","LGA","toronto","YZD","1","true","2022-11-16 16:00:00","2022-11-29 16:00:00","0","United Airlines","43.862","-79.37","108.23"
"12013-a037926ee9cc4a7d94d1b35383e99eb0","YYJ","columbus","LCK","1","true","2022-11-17 13:00:00","2022-11-22 13:00:00","1","Allegiant Air","39.998","-82.892","575.42"
"12359-08d2df8731c04da68f75d7704231ed6d","DEN","philadelphia","PNE","1","true","2022-11-19 07:00:00","2022-11-22 07:00:00","1","American Airlines","39.872","-75.241","430.0"
"12365-f2b08341cc0f45468ae39a76c9cfc149","IAB","calgary","YYC","1","true","2022-11-20 16:00:00","2022-11-28 16:00:00","0","WestJet","51.114","-114.02","357.65"
"12402-66ea685c7c324afbb782706769f0f7be","SJC","edmonton","YXD","1","true","2022-11-20 16:00:00","2022-11-23 16:00:00","0","Ryanair","53.667","-113.467","339.78"
"12829-0b113be3fba840b3b384e86b76b7584c","MCF","los angeles","LSQ","1","true","2022-11-20 07:00:00","2022-11-23 07:00:00","0","Delta Air Lines","33.942","-118.408","628.24"
"13213-bee5d72760e1475da6107c1d5e2ced76","BFI","toronto","YKZ","1","true","2022-11-19 07:00:00","2022-11-23 07:00:00","1","American Airlines","43.862","-79.37","637.92"
"14165-4e6ae855a1ad495fa5c311dcddef06d2","PHL","phoenix","LUF","1","true","2022-11-21 10:00:00","2022-11-24 10:00:00","1","Ryanair","33.535","-112.383","560.45"
"14783-179632d7f19a4a99ae8950d41d677b65","JFK","toronto","YTZ","1","true","2022-11-23 16:00:00","2022-11-25 16:00:00","0","Porter Airlines","43.862","-79.37","106.82"
"15040-1eddad07493d4167929f099524462cbf","UGN","washington","DCA","1","true","2022-11-17 07:00:00","2022-11-21 07:00:00","0","American Airlines","38.852","-77.037","164.36"
"16272-59bfccbe213e4eee9798f1b2533305c7","LAX","milwaukee","MKE","1","true","2022-11-15 09:00:00","2022-11-18 09:00:00","0","American Airlines","42.947","-87.896","539.2"
"16733-1dc5313076fa4199bbf20869dc9ea75d","YEG","new york","JFK","1","true","2022-11-21 07:00:00","2022-11-25 07:00:00","0","KLM Royal Dutch Airlines","40.64","-73.779","545.87"
"17860-36623a6c95bf4c6db6818787ed3cad7f","UGN","edmonton","YED","1","true","2022-11-18 10:00:00","2022-11-21 10:00:00","1","United Airlines","53.667","-113.467","474.2"
"17861-254525aa3a604a53bc786aca4129afa6","FTW","ottawa","YOW","1","true","2022-11-18 08:00:00","2022-11-21 08:00:00","0","Air Canada","45.323","-75.669","416.1"
"18440-5556fa3f7a4c48fdaf90e13f9ea71d93","COS","los angeles","LAX","2","true","2022-11-17 07:00:00","2022-11-19 07:00:00","0","AeroMéxico","33.942","-118.408","467.56"
"18714-a395dd797c014fd9a9a03703e2197a42","JFK","detroit","DET","1","true","2022-11-23 14:00:00","2022-12-02 14:00:00","0","Delta Air Lines","42.409","-83.01","166.45"
