"trip_id","hotel_name","nights","rooms","check_in_time","check_out_time","hotel_per_room_usd"
"260954-6d5ba792da9f441eb8bc0d4ce97dcbc4","Fairmont - hamilton","1","1","2023-06-05 20:18:25.335","2023-06-07 11:00:00","222"
"261006-f35a3868fa0e46cb8944ec1963321770","Best Western - milwaukee","3","2","2023-06-06 14:30:20.835","2023-06-10 11:00:00","139"
"261030-fa260bf8751d431ca6d9254f4fc4b0ee","Four Seasons - new york","1","3","2023-06-07 13:51:29.79","2023-06-09 11:00:00","132"
"261383-c797e79ab9df4cdd96b62770f16370d8","Shangri-La - milwaukee","43","1","2023-06-09 09:08:55.725","2023-07-22 11:00:00","171"
"261740-63c0e5e6cf554bb2aad7861736a6bde2","InterContinental  - los angeles","3","1","2023-06-07 17:30:57.645","2023-06-11 11:00:00","125"
"261912-9e51b41e72ce43e5bc2b01a450733c46","Radisson  - edmonton","3","1","2023-06-06 22:28:49.485","2023-06-10 11:00:00","224"
"262208-66a2ecc5743645c4ad09b31dafb8bbe5","Four Seasons - new york","4","1","2023-06-04 14:10:12.72","2023-06-09 11:00:00","121"
"262888-bce4826d5650497e8c0fd6d4b7a82324","Rosewood - chicago","1","1","2023-06-04 10:28:04.89","2023-06-05 11:00:00","151"
"264028-f6d1708e6db14c6e96147069c0b544d0","Banyan Tree  - memphis","6","1","2023-06-05 17:45:22.59","2023-06-12 11:00:00","305"
"264178-77825b5f41a94db28592cdacdf1ab0fe","Rosewood - baltimore","4","1","2023-06-04 09:48:15.39","2023-06-08 11:00:00","38"
"264383-e75dc85cc1b24c8eb9659323e46ef8a0","Radisson  - edmonton","4","1","2023-06-04 18:19:42.69","2023-06-09 11:00:00","126"
"264962-492011733d2046b585c263419683874c","Crowne Plaza - san antonio","2","1","2023-06-07 17:20:36.42","2023-06-10 11:00:00","172"
"265093-f28f6cb9e941433bbdeabf0a8db0f08c","Conrad  - chicago","3","1","2023-06-02 12:43:18.75","2023-06-06 11:00:00","339"
"265690-304503e455234b2cbe1d9960aedf5de4","Hilton - new york","5","1","2023-06-04 12:12:41.895","2023-06-10 11:00:00","126"
"266659-81a16c08f8bb47e680803b164f6c4f91","Conrad  - chicago","8","2","2023-06-03 12:04:03.45","2023-06-12 11:00:00","451"
"266671-f785e9169cda46fab7e8fd779fca728e","Choice Hotels - nashville","3","1","2023-06-02 12:31:09.39","2023-06-06 11:00:00","32"
"266980-621291d25ff94fbbbc5a9079e5fb974a","Choice Hotels - new york","0","1","2023-06-07 11:19:04.89","2023-06-07 11:00:00","132"
"267945-e846a0f006c74fd99a9b751c8430d6f1","Best Western - seattle","4","1","2023-06-06 11:27:21.285","2023-06-10 11:00:00","295"
"268099-817a332ab4654ae598cf6fc294b3ed82","Crowne Plaza - los angeles","9","2","2023-06-07 11:00:00","2023-06-16 11:00:00","133"
"268141-3157b44e89904d2d95ea04a7a132d395","Fairmont - new york","1","1","2023-06-07 11:27:28.665","2023-06-08 11:00:00","95"
"268556-1c302826d1e44320862378d87dcef841","Rosewood - austin","2","1","2023-06-07 12:23:07.305","2023-06-10 11:00:00","180"
"269085-a53c60d4b16548f0a50b740a8d6d6f62","Marriott  - san francisco","-1","1","2023-06-06 13:32:02.715","2023-06-06 11:00:00","158"
"269153-3658b8acab214099b0b5707cbc3a1a88","Conrad  - chicago","1","1","2023-06-07 14:53:15.72","2023-06-09 11:00:00","40"
"269334-3b9349956f724d95bae7323661e62f9e","Conrad  - toronto","1","1","2023-06-04 11:26:07.845","2023-06-05 11:00:00","180"
"269546-6f89b36efd9648329d4ebac046154dc3","Crowne Plaza - tucson","11","1","2023-06-06 11:00:00","2023-06-17 11:00:00","215"
"269944-c15b45984ecf4754b88a23e2279b9d6e","Rosewood - oklahoma city","17","1","2023-06-01 11:00:00","2023-06-18 11:00:00","47"
"270083-d5f4b77be3f443f9bb2946536e26a89f","Aman Resorts - detroit","3","1","2023-06-02 19:03:05.715","2023-06-06 11:00:00","202"
"271163-0684274101414b619bf9bfee26e39cc7","Four Seasons - las vegas","2","1","2023-06-08 11:09:31.95","2023-06-10 11:00:00","164"
"271949-738f15fa4eb94d94b8b14960fcac7d73","Four Seasons - san francisco","2","2","2023-06-03 14:11:22.965","2023-06-06 11:00:00","203"
"272786-f7a2d1cd0d24495682da9467bd20dbfc","Fairmont - nashville","1","1","2023-06-05 14:32:04.785","2023-06-07 11:00:00","132"
"273567-d0fa8373aecb48a29d9297b58c1a4847","Wyndham - san jose","1","1","2023-06-04 21:42:58.545","2023-06-06 11:00:00","230"
"273645-c256ebd95956432cbda69a77c93fea29","Four Seasons - new york","3","1","2023-06-07 18:11:18.825","2023-06-11 11:00:00","112"
"273664-4d5fa8f7796b4782906eb10c9cf9e0f2","Rosewood - san antonio","6","1","2023-06-06 11:00:00","2023-06-12 11:00:00","114"
"273896-0b281e321eb7477aac5b8c914871789d","Wyndham - nashville","3","1","2023-06-03 12:32:04.785","2023-06-07 11:00:00","173"
"274179-5eec9c30959e41658eab3240ec077e80","Fairmont - toronto","2","1","2023-06-06 11:00:00","2023-06-08 11:00:00","65"
"275122-3118ffc3c9e948438f8b8c210f91fdd8","Rosewood - dallas","3","2","2023-06-07 16:24:56.295","2023-06-11 11:00:00","102"
"275418-02879836c2774029b80f9cb1449c2316","Starwood  - edmonton","1","1","2023-06-03 20:01:14.925","2023-06-05 11:00:00","124"
"275450-19c82117fa7a42fbbfad9810d2d84478","Conrad  - charlotte","6","1","2023-06-07 11:00:00","2023-06-13 11:00:00","301"
"275484-e168b642ec4740db9f34a9779f6164fc","Banyan Tree  - los angeles","7","1","2023-06-07 15:13:10.965","2023-06-15 11:00:00","80"
"276509-15d8ab4b47514b4887a679e37e8fcd09","Radisson  - new york","4","1","2023-06-05 15:14:19.05","2023-06-10 11:00:00","69"
"276859-cb63ee01a5f449baa1ee5d95018fcf6b","Fairmont - winnipeg","9","1","2023-06-01 11:00:00","2023-06-10 11:00:00","132"
"277774-6d77a926609a49df9f24ba6e3a5a4592","Hyatt - dallas","2","2","2023-06-05 15:29:28.995","2023-06-08 11:00:00","31"
"278330-2a1a083f4f694255a5a46d054dff4bb6","Wyndham - phoenix","3","1","2023-06-02 12:34:13.17","2023-06-06 11:00:00","316"
"280915-9fd6429f764d4b6db699c23611212805","Crowne Plaza - austin","0","3","2023-06-06 13:04:41.07","2023-06-07 11:00:00","57"
"281953-473daf3496704896acd6780c6f108e66","Conrad  - fresno","5","1","2023-06-05 13:56:32.325","2023-06-11 11:00:00","259"
"282727-88ee34936a4249bfb8a3725999d839f9","Hyatt - new york","3","2","2023-06-04 17:54:45.945","2023-06-08 11:00:00","106"
"282744-865b4a1acf934f3e84ee840a4a1b8f7e","Shangri-La - edmonton","2","1","2023-06-03 18:32:05.28","2023-06-06 11:00:00","354"
"282873-a501617a10734d54bc286424f8a15b88","Extended Stay  - washington","4","1","2023-06-12 11:00:00","2023-06-16 11:00:00","134"
"283380-c193dfa86af94fe59f86be1db62833a9","Hyatt - charlotte","1","1","2023-06-07 14:54:06.66","2023-06-09 11:00:00","85"
"283579-e916c234f20f408b876fc386cf6474be","Radisson  - phoenix","1","1","2023-06-03 18:24:44.1","2023-06-05 11:00:00","144"
"284133-306bfc5d71934920b7493b88f5817b5e","Banyan Tree  - san diego","7","1","2023-06-10 11:00:00","2023-06-17 11:00:00","169"
"284527-48d2e2422234496ea67c9fb3cae57a11","Shangri-La - dallas","3","1","2023-06-03 12:19:14.34","2023-06-07 11:00:00","269"
"284942-d87191e3c7564a8f9e1d55d3fc61e50d","NH Hotel  - austin","8","1","2023-06-14 11:00:00","2023-06-22 11:00:00","183"
"285398-0715482b462346cd9cac9921de4858cf","Rosewood - toronto","8","1","2023-06-03 11:00:00","2023-06-11 11:00:00","340"
"285565-e5b5ed19f0034062967eb2a24d765716","Starwood  - los angeles","8","1","2023-06-02 18:05:48.075","2023-06-11 11:00:00","93"
"285604-3889bbf50bef424092d05f36f7594cde","Rosewood - boston","3","1","2023-06-04 09:52:13.8","2023-06-07 11:00:00","69"
"286556-f25efad3e2704e03ac8458f63124ce2d","Extended Stay  - san diego","5","1","2023-06-02 17:54:53.1","2023-06-08 11:00:00","96"
"286782-4270d5e82f674a5a8a8abb057061adab","Banyan Tree  - los angeles","1","1","2023-06-10 13:41:54.915","2023-06-12 11:00:00","64"
"287163-63b7acdd9d154e179b4d4ceadbca0084","Best Western - new york","4","1","2023-06-05 11:11:17.745","2023-06-09 11:00:00","151"
"287373-dc019a6b4e2c4af19672088cbb4fea22","NH Hotel  - calgary","4","1","2023-06-02 11:00:00","2023-06-06 11:00:00","168"
