"session_id","user_id","trip_id","session_start","session_end","flight_discount","hotel_discount","flight_discount_amount","hotel_discount_amount","flight_booked","hotel_booked","page_clicks","cancellation"
"413965-cdb56d95a12b46b9a47087f6afad69a3","413965","","2023-03-10 09:39:00","2023-03-10 09:40:27","false","true","","0.1","false","false","12","false"
"414037-1656d3aa2d274441b1d3fd906d39ee8c","414037","","2023-03-10 09:45:00","2023-03-10 09:45:29","false","false","","","false","false","4","false"
"414045-4fa4c727f7f849e991b83dc0d47fe075","414045","","2023-03-10 12:53:00","2023-03-10 12:56:02","false","false","","","false","false","25","false"
"414048-13ab474cc4054c509da13725250f148c","414048","","2023-03-10 02:09:00","2023-03-10 02:09:24","false","false","","","false","false","3","false"
"414116-74e19892b936439caaaa53fca7da4cfc","414116","","2023-03-10 09:15:00","2023-03-10 09:15:53","true","false","0.25","","false","false","7","false"
"414184-dbe0d91586464b3da9d798f2c4ea2262","414184","","2023-03-10 19:23:00","2023-03-10 19:27:38","false","false","","","false","false","37","false"
"414237-bff4aabb7dc54ed4b85193d25b53fbac","414237","","2023-03-10 15:30:00","2023-03-10 15:33:02","false","false","","","false","false","24","false"
"414244-c7022a3d1d2742f290e107f8ef87e15b","414244","","2023-03-10 20:04:00","2023-03-10 20:04:31","true","false","0.05","","false","false","4","false"
"414270-e65c0ed7d988421b8ad90fa0530a9b19","414270","","2023-03-10 17:31:00","2023-03-10 17:31:23","false","true","","0.1","false","false","3","false"
"414290-71c61352b476403aa500c818b12313dc","414290","","2023-03-10 20:35:00","2023-03-10 20:36:58","true","false","0.25","","false","false","16","false"
"414343-ef8fefc97ca04a5182e4c9c30b19ace9","414343","","2023-03-10 15:15:00","2023-03-10 15:15:38","false","false","","","false","false","5","false"
"414344-07060cb170a54230a964f576a998fa89","414344","414344-309b6964cb2c4acca032e4e23df538ca","2023-03-10 19:17:00","2023-03-10 19:25:51","true","true","0.1","0.15","true","true","71","false"
"414358-70bf5fc1c52d4ebc941429b2d4030657","414358","","2023-03-10 14:50:00","2023-03-10 14:50:59","true","false","0.1","","false","false","8","false"
"414366-e7f1abe72b0a49a2a785bfde333c1b54","414366","","2023-03-10 18:17:00","2023-03-10 18:17:54","false","false","","","false","false","7","false"
"414385-6251517a21de4ff38241060de93d3dfc","414385","414385-5e6e0e6480c342a7811dccbba76b5324","2023-03-10 20:38:00","2023-03-10 20:40:40","false","false","","","true","true","21","false"
"414493-2196b26c246c4232ae390000522a45e1","414493","414493-9459483a6fb143d5ad6b475be8a90b61","2023-03-10 16:11:00","2023-03-10 16:14:43","true","true","0.05","0.1","true","true","30","false"
"414501-ea8607ac8388479480cbd76528698693","414501","","2023-03-10 20:17:00","2023-03-10 20:17:39","false","false","","","false","false","5","false"
"414505-36b31c48a88e4a9cad7d2fb5ebaf6842","414505","","2023-03-10 00:04:00","2023-03-10 00:04:53","false","false","","","false","false","7","false"
"414533-ecdd27581bda40be9c7d5c0934d23b6b","414533","","2023-03-10 11:21:00","2023-03-10 11:21:22","true","false","0.2","","false","false","3","false"
"414639-84ace8e2b1754d238a3ddf7cae0af533","414639","","2023-03-10 16:19:00","2023-03-10 16:21:31","false","false","","","false","false","20","false"
"414671-19063e7005d2435fbf678db551b10771","414671","","2023-03-10 11:30:00","2023-03-10 11:30:25","false","false","","","false","false","3","false"
"414696-58021bb518fc4510a100ea42bcbd6487","414696","","2023-03-10 12:15:00","2023-03-10 12:15:15","false","false","","","false","false","2","false"
"414711-e619ab9166cc461fa6b47266014525b2","414711","","2023-03-10 08:57:00","2023-03-10 08:59:38","false","false","","","false","false","21","false"
"414865-db87bf1de41842b3a4dfb14821be5ea4","414865","414865-c80f573cdb2c43a2856db2e98f5b7ff9","2023-03-10 19:47:00","2023-03-10 19:49:37","false","false","","","true","true","21","false"
"414995-65d19acfecb14e12887d8e584e03c42f","414995","","2023-03-10 21:26:00","2023-03-10 21:26:23","false","false","","","false","false","3","false"
"414998-26a38c2ee9804191b026d9d4da571fce","414998","414998-1d942ec808c149b8a6d67deb84283248","2023-03-10 18:12:00","2023-03-10 18:14:04","false","false","","","true","true","17","false"
