user_id,segment,trips_count,stays_count,avg_trip_days,avg_stay_days,avg_session_minutes
1020911,0,,1.0,,2.0,1.5
1020910,0,,,,,0.9333333333333333
1020909,0,1.0,1.0,2.0,1.0,7.566666666666666
1020908,0,,,,,1.55
1020907,0,,,,,0.15
228131,1,5.0,5.0,6.2,4.4,2.3166666666666664
228118,1,3.0,4.0,3.0,3.5,2.0229166666666667
228116,1,3.0,3.0,2.0,4.666666666666667,1.777777777777778
228146,1,2.0,3.0,1.5,3.3333333333333335,2.107142857142857
228143,1,6.0,6.0,5.0,3.3333333333333335,2.1616666666666666
416209,2,2.0,1.0,6.5,2.0,16.921599604166666
496282,2,1.0,,11.0,,25.04
184219,2,1.0,1.0,15.0,3.0,16.742185073809523
500147,2,2.0,2.0,9.0,7.0,18.62142857142857
189483,2,1.0,1.0,13.0,11.0,25.03
362642,3,1.0,,14.0,,1.9708333333333334
66781,3,1.0,1.0,11.0,9.0,15.293255016666667
739858,3,1.0,2.0,14.0,11.5,2.4833333333333334
300538,3,2.0,3.0,8.5,7.0,2.0733333333333333
960833,3,,1.0,,14.0,4.808333333333334
